Country Name,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17342.4719395745,16441.3812596351,16586.1922970903,17927.4120263906,19081.570288414,19356.4208651472,20619.5658496388,20671.545738502,20433.6541088167,20834.9397101237,22566.6821576324,23302.8319880055,24015.4206122701,25921.2821405392,27549.3457319106,24639.9353260156,24289.1415161326,25354.7824741086,
Andorra,,,,,,,,,,3238.08930857635,3497.91312652628,4217.40041168169,5343.12277676194,6320.97187804694,7168.39870956808,7151.57376813729,7751.169371822,9127.61169904434,11819.6457899758,12377.7138585391,10372.3271798169,9611.23805783753,8023.34562682223,7729.32336402426,7775.02750730729,10362.1677498842,12615.0521783631,14305.2096423903,15166.912581061,18876.7301903679,19530.8420614121,20541.7731272609,16508.8749149607,16226.9701802536,18460.0066061368,19043.8352940747,18421.6888284091,18996.441222614,19347.1110672469,17334.2756700025,18599.4153888345,20326.9001004177,25355.2671797143,29372.1667374519,31268.9667449795,34484.7008637747,39922.8901210414,46418.4154673278,,,,
Afghanistan,61.3040930583217,59.798693323222,80.4230020659073,83.7948118142624,103.089103111692,140.138383240116,163.700788626879,131.221435925562,131.313621224771,158.764230928666,161.709515997947,137.023687562771,144.8505998375,175.625523933274,188.552120093363,199.546613632383,226.578885405814,250.007640997592,278.939778294497,276.29775135459,268.346559648938,,,,,,,,,,,,,,,,,,,,115.312509504906,185.959290128351,198.287799138095,220.056287808743,252.407892476849,275.350940904774,373.591416218515,376.977669868854,450.659239044994,561.197617484795,613.979191599462,687.24547498268
Angola,,,,,,,,,,,,,,,,,,,,,,,,,750.72195699464,681.908459808887,772.210507796565,813.960940959841,923.5829011715,992.872870993658,1144.6596373566,525.267782110467,464.784342594799,345.689160150374,416.320095816175,604.439435406847,597.931781354203,490.582014859874,455.41394581715,655.629494626364,621.195930088502,839.504512107763,920.101175813583,1229.34298756979,1706.54361580787,2440.63171610643,3412.71899796564,4596.26843094315,3988.68355727652,4218.64912557379,5159.23366603997,5482.42804891957
Albania,,,,,,,,,,,,,,,,,,,,,,,,641.130985905004,638.541026159301,687.411558633557,663.268318247019,637.207269797634,685.912203237685,609.717698488083,329.261478045316,205.825877555183,359.370914122738,586.719178474028,722.037368132086,901.879398910357,659.265904088532,820.26207927058,1035.10051969296,1115.49391610218,1244.95303509179,1363.33463319796,1744.87598158281,2320.89233029743,2620.82072396395,2872.26062506829,3380.89419205552,4108.41412392957,3845.72171962427,3764.32634799148,4109.08201173014,3999.92531012266
Arab World,,,,,,,,278.019669661697,298.238904937452,316.672199546373,357.38486514065,422.447373060107,520.932725084199,962.492114513918,1044.91013211828,1250.89279918625,1407.0956481551,1506.80074213973,1946.09515888553,2502.26311457753,2501.05556676544,2259.28460171571,2068.85854396627,2032.71151479022,1950.47768050477,1786.32880485802,1854.87571953652,1741.92265521439,1792.59756055805,1947.67491440046,1865.37641288966,1962.7622729711,1936.99841586763,1932.82332656389,2014.77971089353,2178.06097626894,2267.57679915075,2160.12998635528,2310.23397804132,2607.33029367077,2483.00682666053,2464.10488930055,2715.67651576442,3126.04505925035,3740.06201926503,4403.51998276744,5025.91013754609,6238.41738193217,5314.80218722907,6047.84125708763,7195.40446178691,
United Arab Emirates,,,,,,,,,,,,,,,27631.8985401645,30817.2633828883,34371.4628949095,28742.855354213,33716.7240835592,42961.8382150634,45232.6335281834,40339.2718734665,35218.0579741799,32731.507235934,30138.8863490181,23788.110756089,24019.6440095658,22543.0962331629,24289.9421357647,28066.149918578,27018.926378943,26944.7548737053,26224.1490533804,26568.4899320413,28020.0854141076,29776.1600121965,30218.1755039743,27482.9828984103,29183.0504343053,34476.2854230195,32984.7423721858,34062.425735016,36906.1998942909,40403.988167934,43533.8917822307,45554.2194039789,44528.9960064078,46309.9821099673,35025.1044868075,34048.5302479149,39057.8401080621,
Argentina,,1148.16961298053,844.725024008369,1165.78516387942,1271.41556636899,1265.77734467379,1057.32806804985,1136.12592453378,1323.70790453585,1317.1869889513,1366.1180737277,1401.32489153958,2083.81188288541,2824.42766599272,2011.42143698411,1932.10310707553,2111.62136272167,2128.11608256583,2499.95664312636,2736.89737769562,2755.74442766573,2908.25092853875,3532.45047283574,2646.40665946183,2914.15451119049,3602.1791828324,3554.87780310803,3979.63712639717,2382.21723574934,4332.65638710793,5736.02046500778,6824.99708518771,6971.14224546288,7483.86386333018,7407.64520757917,7717.47985981198,8205.4529604258,8278.97251630894,7764.65649673207,7701.35853477978,7208.81462769081,2711.85076981197,3413.10907212233,3997.24328750275,4740.06702885837,5490.43517437,6630.04592619152,8231.22606450681,7674.34297605068,9132.95725866258,10951.5827275637,11573.0649671755
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636.680689996499,589.002948223927,368.916836793393,356.507351442189,399.751202522265,455.550276086151,503.231969620213,522.522072040184,608.336648730809,596.505996304047,621.424826318947,692.318825533253,779.89284168496,924.582154829345,1182.09735964882,1625.39690429443,2126.0895659071,3079.1440862724,3916.73042675126,2913.60061000841,3124.78819918189,3421.72655571932,3351.38136439806
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,941.919930454288,1061.66043900776,1307.39641279195,1565.64863547914,1784.41512313895,2000.7520716673,2255.36910429153,2595.02427421436,3070.43936060873,3806.14955426997,4512.53967952176,5415.84780956705,6025.84767755551,6325.24090483941,6575.48066748281,6680.37575242046,7037.93893828045,7514.48354706237,7230.32068222522,7702.6704006853,8027.63082511141,8355.61833591538,8572.37332938458,10144.4131381116,9855.53812128073,10077.5443493079,10496.8203536397,11076.063615527,12135.5410292779,13675.0852387123,15353.9141948186,15871.5001377785,14589.5952662976,13315.2432671801,12420.1627617953,12733.4904316795
Australia,1878.25764483499,1854.76109248785,1967.32109370166,2131.57852957848,2281.19714110414,2343.61079223686,2579.89142074193,2723.71970695327,2991.24188887176,3304.58912098708,3494.80017105735,3948.92970546953,4769.66108690052,6482.50888419686,7001.97493692625,7484.20447672689,7773.39540087724,8250.32419198198,9291.61988023456,10206.7560690941,11849.9994216989,12784.7690723871,11533.3441543307,12454.5517172396,11457.7679431781,11393.4535580669,11665.0229368813,14331.091816881,17894.2475346295,18247.3945613005,18837.1892754261,18599.0011714271,17658.0794412451,18080.6975287398,20375.3017498037,21931.0614472639,23536.6834905944,21352.3148701425,20546.7427130954,21678.4936778334,19504.5725454121,20071.966131923,23455.8423724395,30464.0037639423,34011.7386356693,36113.0023997107,40628.9957075136,49358.6987241582,42551.0272154303,51746.1169272226,62125.7552299246,67555.7620895355
Austria,1031.8150043291,1087.8342434189,1167.00053244585,1269.41258289256,1374.53213986075,1486.96860600566,1569.66718289967,1677.67352804272,1825.38612552124,2037.61667298995,2356.51555832609,2894.00631846862,3850.74801294419,4583.1794303375,5231.31468192568,5620.04520077486,6740.65330381679,8121.16348743528,9693.14124193311,10757.8694612261,9288.82216971822,9313.66251302457,9439.41725668652,8898.68818643313,9077.85990793739,12948.6533088327,16224.3453533743,17398.0109578617,17289.4650220262,21458.2327210484,22180.6553471394,24624.537839889,23834.1070003374,25383.1988078442,30014.2727535818,29485.6082075795,26082.4585078064,26743.7919407516,26563.2095389091,23974.1830690696,23833.8342435144,25679.0943977121,31268.6306973177,35662.211822391,37067.3238286743,39299.6142950584,45181.4675943835,49679.110704484,45872.2209766138,44723.2039436695,49338.7606551223,46642.2903264503
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1237.324491677,1209.23749284959,676.15151145252,530.090379806798,436.19055858199,397.198116117247,409.216745216782,505.560573228931,561.910301735455,573.8902561721,655.097432602586,703.671250439944,763.101212220367,883.614008967961,1045.02641527642,1578.36733030667,2472.99747579405,3851.32566367549,5574.60380218613,4950.29479142375,5843.16975329757,7189.81515142228,7163.70414342935
Burundi,71.4694335501474,73.7603277929598,78.8741609195558,86.5716238047223,51.6379367564512,52.4574885176544,55.1129068759763,55.2253855904549,56.0591138522018,70.2125072071903,72.0842713833349,69.5746444664999,84.9411349731773,95.2752739525489,114.492166738147,119.74667878605,143.130609651201,155.75823300567,194.706805552307,222.880939583415,228.559792788724,232.42352230036,241.350850951086,213.443448147937,240.875984498507,243.479064540293,221.564795867671,204.968272900861,204.414540995062,201.949143785129,203.033802432218,184.106198999477,156.342253392124,151.335510575276,161.101577901907,138.062807442629,152.741206971868,138.619149063048,123.45966674969,130.423848462325,128.198058276467,117.281401276527,108.014551026407,121.859303582582,143.78352946677,158.305023201892,162.827509358887,186.871748869565,194.896666130154,219.529799450793,246.91432710688,251.014522983849
Belgium,1350.19767333123,1438.5232330684,1535.02372901043,1701.84627554319,1835.59476553194,1957.62608042762,2086.63600544654,2222.36151051913,2458.08182003773,2732.22422510387,3045.40216312673,3784.99276829719,4841.30706364013,5664.00565681132,6619.80730160472,7154.88407158016,8324.37308397304,10164.5199895328,11666.8555677972,12707.420266708,10493.5003639605,9230.12648079131,8738.5567750814,8354.32582434935,8644.30247334304,12021.9054128858,14951.6167505913,16191.5793474939,16323.916634057,20349.6248728198,20785.5388830787,23088.1246456956,22012.6931188166,23913.8852430753,28067.9697425056,27154.3368805058,24532.026923492,25051.3399582643,24886.8656637976,22697.0123033035,22600.9161499186,24465.3335045586,30039.0922372354,34706.6939010393,36011.4694012925,37918.7732033123,43255.3952830783,47374.4481255186,43834.1028591665,42960.419693665,46422.122219905,43372.370713283
Benin,95.5669219953472,94.451874340216,99.8404446955568,104.323758979485,110.132611159285,112.973547067691,112.027640265387,117.022462835667,116.188506373991,114.736663509832,112.745518173398,135.008671843252,162.174943084839,174.170725523615,207.440589724803,208.760440067946,218.529290620153,263.63107808554,327.823149956665,377.95663608779,337.794506776359,322.478807284201,270.767092557164,252.435659777641,243.911509475116,302.6655703499,343.67916526921,345.80926497554,310.632725813062,391.893446788018,383.295362342678,315.218286816776,407.450188061457,276.159121065847,362.470949442798,382.285440636074,356.578260488465,375.0241065123,369.244974806104,339.473025693319,348.334549531992,378.658708434156,464.046143046791,511.292978867427,532.610998254341,557.232446905139,632.360869591351,739.256127626492,712.616526986457,689.648331344157,745.915474802323,751.916316790793
Burkina Faso,71.5582088992003,76.520610972212,78.3721024896116,80.4727076055827,81.7251198708372,82.545624624061,84.36313619086,84.7330328292247,86.5202176682609,81.499931205429,84.2878271085807,99.3267873369654,113.780465171729,124.358933744975,152.7281454003,155.648936572066,176.78325009122,225.941557619927,262.075837239001,282.685785439272,254.230804300942,245.094628890051,217.994670856912,193.843159631186,200.894264501183,256.762445666126,291.131796118384,313.061833852536,304.853272652455,351.979249110808,346.410431974456,240.963399511296,244.127150174085,193.070242373387,235.832231814855,249.364679053716,229.505225653189,255.738905037583,267.211582208839,224.928647089409,235.461798886493,260.6935797372,332.227075619033,371.217986822535,406.998804328341,422.844817464401,474.589978120844,569.639293425797,553.042374261364,592.60746992057,649.925229986443,634.320974595762
Bangladesh,94.5485569834109,96.9675358593636,98.674346723199,97.0405528222099,103.262133033953,109.092098725925,118.976239956472,118.960062913947,130.887076469777,135.618702166279,129.411780910951,91.4919170870712,115.937029787528,176.522227293289,269.124770071818,136.820059579654,127.189491544838,170.253693791666,193.982258083142,219.859297892266,232.58143146752,207.337210353048,192.223091020051,213.404776886421,229.22635429914,217.752940442175,235.979688318232,251.032427315501,264.78966155159,283.97672871853,281.598770951065,278.338143276448,279.064341335282,288.431697328994,316.508586893552,332.236257821645,338.698568200359,345.875938665419,351.582591038389,355.973434120504,348.75689288747,347.218612304559,372.98052036158,400.472474922602,421.123311373275,427.291166977892,467.136361352364,537.63849712654,597.711802911515,664.064231684516,731.894167840472,752.156052513804
Bulgaria,,,,,,,,,,,,,,,,,,,,2261.41728355722,2255.76125797376,2220.82318344579,1897.07856394704,1943.06261030635,1959.93877827177,2261.7577129916,3168.86512466726,2561.10870475546,2449.80083344071,2377.33578626531,1267.73441441504,1214.48493254431,1278.5173915088,1149.37799254941,1554.72172292877,1063.07566098989,1209.50274411588,1581.82457412776,1611.12900386908,1579.34823955798,1729.19115686112,2030.78852342214,2641.78772313452,3249.28739637349,3733.26316099698,4313.43063643639,5498.03572893702,6798.13818884947,6403.14768611331,6334.68213239936,7286.64390183675,6978.05308420711
Bahrain,,,,,,,,,,,,,,,,,,,,8537.59730650468,9269.14628208229,9446.1583253916,9421.45232747979,9590.77742418185,8706.82937897675,7041.42332005001,7554.51201660794,7957.79006454201,8029.98708735837,8528.76005935057,9057.72346871428,9088.57944311585,9707.22283171815,10138.1239913698,10376.3647760188,10525.9500320722,10628.0592574181,10013.879479798,10330.8661540897,11927.9043788571,11347.3281673056,11591.410174386,12625.4757847496,13693.6046232956,15303.7839238705,16672.7233586277,17894.1676817603,19625.579580591,16213.3363160294,20545.9882725729,22466.9451808413,
"Bahamas, The",1651.45929519612,1752.95311640643,1867.12401935202,1994.54029446663,2144.90758577304,2322.97563853017,2556.86885744326,2804.66982143087,3215.44776956112,3179.23899634523,3297.92312514738,3322.5746609388,3696.64259541901,3416.58697871927,3156.46805942334,3328.5812602058,3617.12273866415,4130.79186744148,5531.98955532475,6338.64980537359,6622.43954615513,7165.16716453145,7695.04050021316,8873.80782039354,9888.61577269861,10339.3479331758,11150.5066701726,11381.5458610174,12157.4030326011,12350.8804781187,11915.4966258397,11683.7093240435,11405.1751166522,11815.6768907258,12244.2420996251,12722.1709120905,17295.4696787464,18465.1393803936,20515.0319313527,21250.5818463926,21506.7441131334,22514.9447157155,22017.7077788761,22005.003101737,23416.9036853364,23733.8076764932,24321.0651105543,23674.1402078429,22060.9209798811,21881.0839449872,21490.3570814373,21908.2804602645
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343.170841367944,530.126416687783,799.307256883323,1038.41024167982,1130.70639182092,1248.8605403724,1435.95768580097,1481.9457148652,1706.50195390992,2148.48434579877,2578.73808730919,2821.78774993989,3199.89683600131,3949.84208124907,4802.46674411594,4433.14617870841,4361.87713752689,4754.07423360573,4555.64456959007
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1704.74030406477,1747.43867127761,1666.22751294157,1590.03540902938,1460.01754360249,1370.67270975184,1452.44700181708,1396.50216637274,1511.77026798131,1209.61488077994,1273.0491239487,1244.4419967652,1479.46532113219,1819.4790277163,2378.37489391196,3126.36777779462,3848.59629932721,4735.95313763859,6377.35969207257,5182.63040414387,5818.8548592158,6784.71183842843,6685.01874897634
